Comment Title,Comments,Countries,Date,Mobile,Rating
Disappointed on all levels. No value at all for the money,I have never written a poor review till now| but this resort deserves one and then some. I was in the Maldives last Christmas (JA Manafaru) and I had expectations for a similar experience| as Trou aux Biches was a similar price (actually more slightly expensive). Both resorts are very expensive| btw. Unfortunately| we were disappointed on all fronts. So where do I start (in order of annoyance):1. Service is way sub par| due to poor personnel trainingWe spend 10 days so I have statistically valid sample – at every (every) meal (breakfast| lunch| dinner) I got a problem with my order – something forgotten| something| delayed| needing to repeat 5 times to 3 different people until you get a glass of wine| etc. It seems that people forget what you told them the second they turn their back. Most of them are nice and friendly but they are not trained well. There is are best practices and processes to remember and confirm an order| to speed up delivery of beverages at the expense of meals| etc. It has all been invented already. But not taught to the staff. Which is a pity as they have a training “Academy” next to the hotel!?I had at least two occasions when the staff tried to blame me for their mistakes| which is very rude. The fact that they did not understand or forgot is their problem. And again – there are methods for avoiding mistakes (like confirmations| repetitions| etc.) But in any case the customer is the king as he/she is playing the bill.2. Food was way below expectations for this price tag – again| I am not trying to be picky| but when I have paid 30|000 USD for 10 days bed and breakfast (excluding the meals) then I expect great food – like the on ewe got at the Maldives. That however was not the case ☹ Why – it beets me.3. VillaNot bad| but again| at Maldives we got beachfront villa| with private pool| private deck| private beach| etc. Here (for the same 30k USD for 10 days)| your “villa” is a part of a duplex of 4 apartments in a single building. No private anything.4. BeachThe beach is nice but very narrow. When the tide is high every noon| the water gets to the sunbeds. This would not have been a big problem if it wasn’t for the people who are constantly traversing the beach – both hotel guests and local people. So if you are expecting a secluded and serene beach – go elsewhere. It is a bit like manifestation here.So overall| I am most discontent because I paid a LOT of money and got way lower service and experience than I expected. I have been in many places around the world and this is one of the very few that have disappointed me on so many levels. And again| I didn’t have like one or tow annoying experiences – those happened over and over again. Just before I started writing this review the staff messed up (again!) my spa appointment – so I wasted my time waiting 30 minutes to learn they booked me for much later in contrast with what we have agreed.I will never consider this resort again| and I strongly recommend you avoid it. There are much nicer places with nicer and better personnel where you can have fun for 5 times less money.,Sofia| Bulgaria,05-01-18,Yes,1
Wonderful best resort in Mauritius ,Speechless!What a wonderful resort!!I had been to Mauritius a few times before| including in some of the other luxury hotels of the island| and this was by far my very best stay. Absolutely amazing hotel in all respects: outstanding facilities which cater for everyone - whether for someone who want peace and healthy / wellness retreat (the spa is state of the art| gym excellent with modern and well maintained comprehensive weight training machines + free weights + boxing| yoga and cardio options - I am a daily fitness bunny and even compared to a top London gym it was perfect for me!)| couples| families (kids clubs and nannies available).There are many different swimming pool and green areas which enable to maintain the peace for everyone| you never feel that the hotel is noisy or busy it is superbly designed!) ... fantastic service (including to cater to specific requirements). The food was excellent| especially at the seafood restaurant (The Deck) and the Italian one which both have outstanding chefs cooking super healthy and creative meals from top products. The seafront rooms with their private little pools are pure bliss to relax even further. The beach is perfect| with top smiling staff looking after the guests. It is a very long white pristine sandy beach| ultra clean and gorgeous| you can swim for hours throughout the length of the hotel at bath temperature. And the seaports facilities and staffs are equally awesome! The fabulous Fatima| the kindest precious soul with outstanding positive energy and charisma| is the assistant manager of the hotel and a true highlight of our stay: her commitment and willingness to make the most of a very enjoyable experience for our entire family (and all the other guests) should have a special reward!A real top 5 star hotels taking care of the well being of its guests. I will come back for sure and recommend it!!!Oh and icing on the cake: the hotel is optimally exposed to the sun| meaning you have it all day long and can enjoy breathtaking sunsets from the beach … Magic magic magic …,Malmo| Sweden,02-01-18,Yes,5
Wonderful tropical vacation,Good resort| good service (extra good in connection with my wife's birthday). Very well welcoming to the hotel. The food was good for being at a resort. The 3rd resort on Mauritsius for us and the Beachcomber concept feels professional. Just this resort may not be the best (Dinarobin)| but we recommend it anyway. You will not be disappointed.We particularly want to highlight Jeff Perrine at Oasis Bar as with his commitment and willingness to make the most of a very enjoyable experience for our entire family.,Malmo| Sweden,30-12-17,No,4
The best place on earth,Beautiful site with a very long sandy beach| very nice facilities| excellent food| smiling and friendly staff. A real 5 star hotels taking care of the well being of its guests. I’ll come back for sure,Brussels| Belgium,22-12-17,No,5
Holidays,Very Nice Beachcomber Hotel and we have a lovely stay for 3 night |very friendly staff |clean room and also good food | The Kids Club exceed our expectation | in general we were satisfied and the Art of Beautiful is well said ,Brussels| Belgium,22-12-17,No,5
Super nice hotel,Huge very nice resort| with lot of green areas. I had a junior suite| view on one of the swimming pools. Very big| very well equipped| clean| excellent service. Good wifi. The resort has a private beach| quite narrow| but nice. Lots of activities| 6 restaurants (I was on HB) ... all this requires some planning (you normally do not find place for the most requested activities nor for the restaurants| for the same day)| but it is doable without any stress.,Brussels| Belgium,21-12-17,No,5
Feedback on my stay at Trou Aux Biches Golf Resort and Spa,What I liked the most was the friendliness of the staff. The overall service experience was very satisfactory due to them. Special mention for Mahiya Restaurant where the food was out of this world. Buffet and breakdast nedd to be revisited...However| good sleep in the rooms. ,Kuusisto,17-12-17,No,3
Room for improvement,Good hotel but poor quality of food and not enough variety at the L'Oasis buffet. Very disappointing . Very spacious room and well equipped. Overall we had a nice stay but food quality should be improved ,Kuusisto,17-12-17,Yes,3
Super Nice Hotel,This reminds me about paradise on earth. Absolutely lovely hotel. We had 3 bedroom villa for 6 persons. I can honestly recommend this to any demanding traveler. Hotel has seven different restaurants. You'll never need to eat same food twice. Only major minus goes to live birds| which will sit on your breakfast table| if you don't pay attention. Other smaller minus goes to slow service in the restaurants. If if you are super hungry| get prepared to wait min 30min before you'll get your order.,Kuusisto,17-12-17,Yes,5
Magnificent Resort,One of my favourite Beachcomber Resorts and now with the new Mont Choisy golf course 3km down the road| this place has become even MORE attractive for me! The new course by Peter Matkovich is magnificent!,Durban| South Africa,16-12-17,Yes,5
